title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Black Summer,2019,Ongoing,"Action, Drama, Horror","In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",6.5,25453,40,"Jaime King, Justin Chu Cary, Christine Lee, Zoe Marlett"
Katla,2021,Ongoing,"Drama, Mystery, Sci-Fi","One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.",7.1,8391,46,"Guðrún Ýr Eyfjörð, Íris Tanja Flygenring, Ingvar Sigurdsson, Aliette Opheim"
House of Cards,2013,2018,Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,8.7,476656,51,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
Miraculous: Tales of Ladybug & Cat Noir,2015,Ongoing,"Animation, Action, Adventure","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.7,8300,20,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee"
Demon Slayer: Kimetsu No Yaiba,2019,Ongoing,"Animation, Action, Fantasy","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",8.7,46259,25,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô"
Jane the Virgin,2014,2019,Comedy,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated.",7.8,41758,60,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni"
The Good Wife,2009,2016,"Crime, Drama, Mystery","Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.",8.3,70021,43,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry"
The Good Place,2016,2020,"Comedy, Drama, Fantasy",Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,8.2,127417,22,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden"
The Americans,2013,2018,"Crime, Drama, Mystery","At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",8.4,88962,44,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor"
Glee,2009,2015,"Comedy, Drama, Music",A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,6.7,139934,44,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith"
Castlevania,2017,2021,"Animation, Action, Adventure",A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,8.3,51802,23,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James"
Dawson's Creek,1998,2003,"Drama, Romance",Four friends in a small coastal town help each other cope with adolescence.,6.6,38117,60,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson"
Pretty Little Liars,2010,2017,"Drama, Mystery, Romance","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",7.4,155875,44,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell"
Star Trek,1966,1969,"Action, Adventure, Sci-Fi","In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.",8.3,76213,50,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols"
Archer,2009,Ongoing,"Animation, Action, Comedy",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,8.6,141784,22,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell"
Twin Peaks,1990,1991,"Crime, Drama, Mystery",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,8.8,182173,47,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
The Bold Type,2017,2021,"Comedy, Drama",A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.,7.9,16183,45,"Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin"
"Love, Death & Robots",2019,Ongoing,"Animation, Short, Comedy","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",8.5,120364,15,"Scott Whyte, Nolan North, Steven Pacey, Emily O'Brien"
Ray Donovan,2013,2020,"Crime, Drama","Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.",8.3,79618,60,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall"
Transformers: War for Cybertron,2020,2021,"Animation, Action, Adventure",Animated series set in the world of battling Autobots and Decepticons.,7.4,2923,30,"Jason Marnocha, Frank Todaro, Jake Foushee, Bill Rogers"
Trollhunters,2016,2018,"Animation, Action, Adventure","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",8.4,14759,23,"Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer"
Snowpiercer,2020,Ongoing,"Action, Drama, Sci-Fi","Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.",6.9,39433,60,"Daveed Diggs, Iddo Goldberg, Mickey Sumner, Alison Wright"
Workin' Moms,2017,Ongoing,Comedy,"Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada.",7.7,12896,30,"Catherine Reitman, Dani Kind, Juno Rinaldi, Philip Sternberg"
Broadchurch,2013,2017,"Crime, Drama, Mystery","The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",8.4,100611,48,"David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan"
L.A.'s Finest,2019,2020,"Action, Comedy, Crime","The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.",6.0,5667,60,"Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford"
Iron Fist,2017,2018,"Action, Adventure, Crime",A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,6.5,118859,55,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey"
Too Hot to Handle,2020,Ongoing,"Game-Show, Reality-TV, Romance","On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.",4.6,10008,40,"Desiree Burch, Marvin Anthony, Chase de Moor, Cam Holmes"
Hannibal,2013,2015,"Crime, Drama, Horror",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,8.5,236161,44,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
Longmire,2012,2017,"Action, Crime, Drama","Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",8.3,30685,60,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman"
The Fall,2013,2016,"Crime, Drama, Thriller",A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,8.1,89590,60,"Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi"
Jujutsu Kaisen,2020,Ongoing,"Animation, Action, Adventure",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,8.7,25386,24,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida"
Dynasty,2017,Ongoing,Drama,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,7.3,16666,42,"Elizabeth Gillies, Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke"
NCIS: Los Angeles,2009,Ongoing,"Action, Crime, Drama","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",6.7,49943,43,"Chris O'Donnell, Daniela Ruah, Barrett Foa, LL Cool J"
The Movies That Made Us,2019,Ongoing,Documentary,The histories of classic popular movies are examined.,7.8,3653,45,"Donald Ian Black, Danny Wallace, Jennifer Julian, Frank Price"
Ragnarok,2020,Ongoing,"Action, Drama, Fantasy",A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,7.5,31200,45,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø"
Ginny & Georgia,2021,Ongoing,"Comedy, Drama","Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.",7.5,35247,53,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson"
Designated Survivor,2016,2019,"Action, Drama, Mystery",A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,7.5,81326,60,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn"
White Collar,2009,2014,"Comedy, Crime, Drama","A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",8.2,122230,40,"Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen"
Dirty John,2018,Ongoing,"Crime, Drama",Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,7.2,18088,44,"Connie Britton, Christian Slater, Eric Bana, Amanda Peet"
The Killing,2011,2014,"Crime, Drama, Mystery","A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",8.2,102312,45,"Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James"
Skins,2007,2013,Drama,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,8.2,77286,46,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray"
Death Note: Desu nôto,2006,2007,"Animation, Crime, Drama",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,9.0,262556,24,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"
Naruto,2002,2007,"Animation, Action, Adventure","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",8.3,79832,24,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura"
Black Sails,2014,2017,"Adventure, Drama","Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",8.2,96550,56,"Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan"
Orphan Black,2013,2017,"Action, Drama, Sci-Fi",A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,8.3,104501,44,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard"
Grimm,2011,2017,"Crime, Drama, Fantasy",A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,7.8,111716,45,"David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz"
Luther,2010,2019,"Crime, Drama, Mystery",DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,8.4,125749,60,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown"
Sexy Beasts,2021,Ongoing,"Reality-TV, Romance","Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.",4.7,592,,Rob Delaney
Murdoch Mysteries,2008,Ongoing,"Crime, Drama, Mystery","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",8.1,11437,48,"Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris"
Resident Evil: Infinite Darkness,2021,Ongoing,"Animation, Action, Horror",Federal agent Leon S. Kennedy teams up with TerraSave staff member Claire Redfield to investigate a zombie outbreak. Based on the popular video game series of the same name by Capcom.,5.8,7128,26,"Nick Apostolides, Bill Butts, Kellen Goff, Stephanie Panisello"
Reign,2013,2017,"Drama, Fantasy","Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",7.5,45045,42,"Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs"
Elementary,2012,2019,"Crime, Drama, Mystery","A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",7.9,103707,60,"Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill"
The Missing,2014,2016,"Crime, Drama, Mystery",Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,8.2,23317,60,"Tchéky Karyo, Anastasia Hille, David Morrissey, Keeley Hawes"
Hagane no renkinjutsushi,2009,2012,"Animation, Action, Adventure",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,9.1,134855,24,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak"
